,  1 person HH,  1 person HH,  1 person HH,  1 person HH,  1 person HH,  1 person HH,  2 persons HH,  2 persons HH,  2 persons HH,  2 persons HH,  2 persons HH,  2 persons HH,  3 persons HH,  3 persons HH,  3 persons HH,  3 persons HH,  3 persons HH,  3 persons HH,  4 persons HH,  4 persons HH,  4 persons HH,  4 persons HH,  4 persons HH,  4 persons HH,  5 or more persons HH,  5 or more persons HH,  5 or more persons HH,  5 or more persons HH,  5 or more persons HH,  5 or more persons HH
,Total - Private households by Household income as a proportion to Area Median Household Income (AMHI)_1,  Households with household income 20% or under of area median household income (AMHI),  Households with household income 21% to 50% of AMHI,  Households with household income 51% to 80% of AMHI,  Households with household income 81% to 120% of AMHI,  Households with household income 121% and over of AMHI,Total - Private households by Household income as a proportion to Area Median Household Income (AMHI)_1,  Households with household income 20% or under of area median household income (AMHI),  Households with household income 21% to 50% of AMHI,  Households with household income 51% to 80% of AMHI,  Households with household income 81% to 120% of AMHI,  Households with household income 121% and over of AMHI,Total - Private households by Household income as a proportion to Area Median Household Income (AMHI)_1,  Households with household income 20% or under of area median household income (AMHI),  Households with household income 21% to 50% of AMHI,  Households with household income 51% to 80% of AMHI,  Households with household income 81% to 120% of AMHI,  Households with household income 121% and over of AMHI,Total - Private households by Household income as a proportion to Area Median Household Income (AMHI)_1,  Households with household income 20% or under of area median household income (AMHI),  Households with household income 21% to 50% of AMHI,  Households with household income 51% to 80% of AMHI,  Households with household income 81% to 120% of AMHI,  Households with household income 121% and over of AMHI,Total - Private households by Household income as a proportion to Area Median Household Income (AMHI)_1,  Households with household income 20% or under of area median household income (AMHI),  Households with household income 21% to 50% of AMHI,  Households with household income 51% to 80% of AMHI,  Households with household income 81% to 120% of AMHI,  Households with household income 121% and over of AMHI
Geography,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status
  Saint David P (1302042) 00000 (  3.1%),155,0,80,35,35,0,295,0,20,80,75,120,105,0,0,0,15,75,75,0,0,0,15,45,0,0,0,0,0,0
  Dumbarton P (1302044) 00000 (  2.6%),40,0,0,0,0,0,75,0,0,20,15,40,30,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0
  Grand Manan VL (1302052) 00000 (  3.8%),380,0,170,105,45,45,445,0,35,120,105,180,180,0,20,0,30,115,110,0,0,0,20,80,50,0,0,0,0,50
  Blissville P (1303001) 00000 (  2.5%),100,0,40,30,20,0,130,0,15,15,55,40,50,0,0,0,0,30,25,0,0,0,0,25,25,0,0,0,0,15
  Gladstone P (1303004) 00000 (  7.5%),55,0,30,0,0,0,70,0,0,0,30,20,30,0,0,0,0,25,20,0,0,0,0,15,15,0,0,0,0,0
  Tracy VL (1303005) 00000 (  4.9%),65,0,35,0,0,0,80,0,0,25,0,35,55,0,0,0,0,35,30,0,0,0,0,25,15,0,0,0,0,15
  Fredericton Junction VL (1303006) 00000 (  2.8%),70,0,45,0,15,0,140,0,0,50,40,40,25,0,0,0,0,0,25,0,0,0,0,0,35,0,0,0,0,25
  Lincoln P (1303008) 00000 (  2.7%),635,15,300,190,95,30,1265,0,130,285,445,405,560,0,0,90,160,295,420,0,0,50,90,265,170,0,0,25,45,105
  Burton P (1303011) 00000 (  2.6%),365,25,125,145,65,0,770,0,70,150,355,195,355,0,20,50,105,175,350,0,0,20,90,235,145,0,0,15,35,90
  Oromocto TV (1303012) 00000 (  2.3%),940,20,300,490,100,30,1295,0,70,220,515,490,590,0,30,75,185,305,500,0,0,50,150,300,295,0,0,10,75,215
  Sheffield P (1303014) 00000 (  8.8%),95,0,50,25,0,0,175,0,20,25,70,55,45,0,0,0,0,25,50,0,0,0,20,25,20,0,0,0,0,0
  Maugerville P (1303016) 00000 (  2.2%),130,0,50,45,15,0,280,0,35,60,95,85,120,0,0,0,70,45,110,0,0,20,15,75,45,0,0,0,0,35
  Northfield P (1303018) 00000 (  1.6%),100,0,30,30,15,0,95,0,0,0,50,35,40,0,0,0,0,25,15,0,0,0,0,15,0,0,0,0,0,0
  Petersville P (1304001) 00000 (  4.1%),65,0,35,20,0,0,150,0,25,35,45,50,30,0,0,0,0,25,40,0,0,0,0,30,15,0,0,0,0,0
  Gagetown P (1304004) 00000 (  0.0%),40,0,20,0,0,0,60,0,0,0,20,30,30,0,0,0,0,25,20,0,0,0,0,0,0,0,0,0,0,0
  Gagetown VL (1304005) 00000 (  4.0%),105,0,55,15,25,0,145,0,0,25,45,65,35,0,0,0,0,25,20,0,0,0,0,20,0,0,0,0,0,0
  Hampstead P (1304006) 00000 (  2.9%),60,0,20,15,0,0,45,0,0,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  Wickham P (1304008) 01010 ( 14.9%),65,0,20,0,15,0,65,0,0,25,20,20,30,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0
  Cambridge P (1304011) 01010 ( 17.6%),60,0,30,0,0,0,155,0,15,30,60,50,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  Cambridge-Narrows VL (1304013) 01010 ( 18.8%),100,0,35,25,20,20,140,0,0,40,30,70,20,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0
  Johnston P (1304014) 00000 (  6.3%),110,0,60,25,20,0,125,0,0,20,30,70,35,0,0,0,0,25,30,0,0,0,0,30,25,0,0,0,0,0
  Brunswick P (1304016) 01919 ( 17.9%),x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
  Waterborough P (1304018) 01000 (  6.2%),105,0,55,20,15,0,200,0,0,50,70,70,35,0,0,0,0,20,50,0,0,0,0,40,0,0,0,0,0,0
  Canning P (1304021) 01010 ( 12.8%),155,0,80,20,15,35,255,0,30,40,60,120,50,0,0,0,0,25,40,0,0,0,0,0,0,0,0,0,0,0
  Minto VL (1304022) 00000 (  4.6%),365,15,150,110,55,30,415,0,20,90,100,200,140,0,0,20,35,85,80,0,0,0,0,65,40,0,0,0,0,30
  Chipman P (1304024) 00000 (  5.4%),145,0,70,15,35,0,190,0,0,50,45,95,70,0,15,0,0,30,40,0,0,0,0,30,0,0,0,0,0,0
  Chipman VL (1304025) 00000 (  0.7%),205,0,95,55,40,0,255,0,0,55,95,90,80,0,0,0,0,75,35,0,0,0,0,25,0,0,0,0,0,0
  Hammond P (1305001) 01010 ( 16.7%),40,0,0,20,0,0,50,0,0,0,25,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  Upham P (1305004) 00000 (  2.2%),145,0,75,25,30,0,230,0,15,55,55,100,50,0,0,0,15,25,80,0,0,0,0,65,50,0,0,0,0,40
  Hampton P (1305006) 00000 (  2.5%),200,25,75,55,25,15,480,0,85,130,145,115,230,0,0,20,80,110,150,0,0,0,45,100,85,0,0,0,0,60
  Hampton TV (1305007) 00000 (  2.7%),395,45,170,90,70,20,675,0,75,160,210,230,240,0,0,35,75,115,275,0,0,20,55,195,125,0,0,0,0,110
  Rothesay P (1305008) 00000 (  0.0%),20,0,0,0,0,0,60,0,0,0,25,20,20,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0
  Westfield P (1305011) 00000 (  7.6%),200,25,70,80,0,20,355,0,25,80,105,140,125,0,20,20,20,75,115,0,0,0,25,85,55,0,0,0,0,30
  Kingston P (1305014) 00000 (  7.3%),315,25,150,90,30,0,555,0,45,150,155,205,235,0,0,40,85,105,140,0,0,0,25,105,85,0,0,25,0,50
  Grand Bay-Westfield TV (1305015) 00000 (  2.0%),365,25,190,70,40,40,810,0,140,160,325,185,330,0,15,75,80,165,300,0,0,0,65,215,145,0,0,0,0,120
  Norton P (1305016) 00000 (  1.5%),95,0,55,20,0,0,220,0,35,45,60,80,105,0,0,0,30,65,60,0,0,0,25,25,40,0,0,0,0,20
  Norton VL (1305018) 00000 (  5.2%),135,0,65,30,25,0,175,0,20,45,80,35,110,0,0,15,15,70,50,0,0,10,15,25,55,0,0,0,0,50
  Sussex P (1305021) 00000 (  2.9%),245,15,120,55,40,0,390,0,40,80,140,120,190,0,0,35,45,100,135,0,0,0,20,100,75,0,0,0,15,45
  Sussex TV (1305022) 00000 (  3.6%),765,55,320,230,90,70,710,0,25,160,180,350,260,0,15,30,60,160,190,0,0,10,35,140,105,0,0,0,35,70
  Sussex Corner VL (1305023) 00000 (  1.2%),180,0,65,85,0,0,295,0,15,70,100,110,65,0,0,0,15,40,70,0,0,0,0,60,35,0,0,0,0,30
  Waterford P (1305024) 00000 (  8.3%),55,0,25,0,0,0,110,0,0,20,40,40,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0
  Cardwell P (1305026) 00000 (  5.8%),175,0,80,25,30,30,275,0,15,100,45,120,60,0,0,0,20,25,35,0,0,0,0,25,55,0,0,0,0,55
  Havelock P (1305028) 00000 (  5.7%),115,0,60,25,20,0,165,0,0,35,35,80,65,0,0,0,40,0,45,0,0,0,0,35,35,0,0,0,0,35
  Studholm P (1305031) 00000 (  3.5%),305,40,140,70,50,0,620,0,100,190,170,165,190,0,0,15,30,145,135,0,0,0,15,115,100,0,0,0,35,60
  Springfield P (1305034) 00000 (  4.2%),135,0,50,20,40,20,250,0,25,85,55,75,130,0,0,0,35,65,60,0,0,0,15,40,55,0,0,0,25,30
  Kars P (1305036) 01010 ( 19.5%),35,0,0,0,0,0,60,0,0,0,35,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  Greenwich P (1305038) 00000 (  7.3%),140,0,45,40,30,15,200,0,20,50,55,75,70,0,0,0,10,60,65,0,0,0,0,40,0,0,0,0,0,0
  Rothesay TV (1305045) 00000 (  2.2%),1145,65,550,270,185,90,1875,0,230,430,465,735,755,0,60,90,220,380,700,0,20,70,110,495,360,0,0,25,45,275
  Quispamsis TV (1305057) 00000 (  2.8%),1125,155,525,280,100,65,2540,15,385,765,665,710,1220,0,105,160,335,610,1305,0,40,100,290,875,610,0,15,60,120,420
  Hopewell P (1306001) 00000 (  7.8%),95,0,25,40,20,0,115,0,0,0,50,50,25,0,0,0,0,0,25,0,0,0,0,25,0,0,0,0,0,0
  Riverside-Albert VL (1306003) 00000 (  5.9%),65,0,20,30,0,0,40,0,0,0,0,20,20,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0
  Harvey P (1306004) 00000 (  7.5%),65,0,20,25,0,0,95,0,0,25,30,35,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  Alma VL (1306006) 01010 ( 12.4%),45,0,0,15,0,0,45,0,0,0,20,25,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0
  Alma P (1306007) 09999 (  0.0%),x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
  Elgin P (1306008) 00010 ( 11.6%),130,0,45,25,25,25,200,0,0,55,40,95,75,0,0,0,20,35,25,0,0,0,0,25,25,0,0,0,0,25
  Hillsborough P (1306011) 00000 (  3.3%),150,0,75,30,25,0,270,0,30,60,55,125,95,0,0,0,20,60,40,0,0,0,20,25,40,0,0,0,0,40
  Coverdale P (1306014) 00000 (  2.6%),345,35,180,90,25,15,760,0,130,185,255,185,325,0,0,45,115,150,270,0,0,15,75,170,150,0,0,0,30,105
  Riverview TV (1306020) 00000 (  2.4%),2185,80,895,790,305,120,3380,0,275,805,1085,1205,1365,0,50,150,370,795,1095,0,15,80,220,775,495,0,0,30,105,345
  Hillsborough VL (1306025) 00000 (  4.4%),165,0,80,65,0,0,180,0,25,55,25,80,100,0,0,0,25,65,65,0,0,0,25,40,35,0,0,0,0,25
  Westmorland P (1307001) 00000 (  6.1%),95,0,45,30,0,0,155,0,0,50,45,55,65,0,0,0,25,35,25,0,0,0,0,15,40,0,0,0,0,30
  Port Elgin VL (1307002) 00000 (  0.0%),75,0,25,0,0,0,45,0,0,0,0,15,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  Botsford P (1307004) 01020 ( 21.1%),160,0,65,35,0,40,295,0,15,65,85,125,55,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0
  Beaubassin East / Beaubassin-est RCR (1307005) 00000 (  5.3%),600,30,320,155,70,20,1315,0,145,305,440,420,440,0,20,40,140,240,360,0,0,0,85,265,130,0,0,0,0,115
  Cap-Pelé VL (1307007) 00000 (  3.9%),245,0,155,55,25,0,415,0,40,85,145,140,165,0,0,0,20,120,130,0,0,0,30,90,55,0,0,0,25,0
  Sackville P (1307008) 00000 (  5.5%),115,0,40,55,0,0,190,0,40,25,70,60,80,0,0,0,25,50,45,0,0,0,0,30,50,0,0,0,0,35
  Sackville TV (1307009) 00000 (  4.0%),805,45,325,260,90,85,1045,0,90,250,275,430,340,0,20,40,65,215,300,0,0,30,40,225,115,0,0,0,20,90
  Dorchester P (1307011) 00000 (  2.1%),40,0,15,0,0,0,90,0,0,30,0,35,25,0,0,0,0,20,15,0,0,0,0,15,0,0,0,0,0,0
  Dorchester VL (1307012) 00000 (  2.6%),70,0,0,25,20,0,80,0,0,20,0,45,25,0,0,0,0,25,25,0,0,0,0,15,0,0,0,0,0,0
  Memramcook VL (1307013) 00000 (  2.4%),475,45,200,155,65,0,825,0,105,195,255,275,360,0,0,30,105,210,290,0,0,20,45,205,115,0,0,0,30,80
  Shediac P (1307016) 00000 (  7.9%),625,40,305,165,90,25,965,0,100,215,315,340,330,0,20,50,55,200,295,0,0,0,50,235,65,0,0,0,0,45
  Moncton P (1307019) 00000 (  2.9%),740,65,360,225,55,40,1735,0,265,440,535,485,720,0,40,95,220,370,635,0,20,35,105,475,290,0,0,25,65,190
  Moncton C (1307022) 00000 (  6.6%),11090,655,4055,3415,2045,925,12860,80,880,2635,3770,5495,4935,0,195,515,1105,3110,3820,0,120,250,565,2870,1630,0,20,110,295,1205
  Salisbury P (1307024) 00000 (  3.3%),280,20,160,75,15,15,570,0,40,135,175,210,165,0,0,30,45,80,170,0,0,0,45,110,115,0,0,0,0,85
  Salisbury VL (1307028) 00000 (  3.3%),210,0,100,75,0,15,365,0,30,100,95,135,195,0,0,30,40,115,135,0,0,20,0,95,45,0,0,0,0,30
  Petitcodiac VL (1307029) 00000 (  1.5%),170,0,75,55,30,0,205,0,0,40,80,65,125,0,0,0,30,85,60,0,0,0,0,55,50,0,0,0,0,35
  Dieppe C (1307045) 00000 (  2.8%),2800,145,1200,850,410,195,4395,25,485,1005,1395,1480,1840,0,95,215,460,1065,1710,0,55,75,330,1245,630,0,0,40,135,445
  Shediac TV (1307052) 00000 (  4.9%),1055,80,475,305,150,50,1340,0,60,290,395,595,405,0,0,30,60,300,300,0,0,0,25,255,145,0,0,0,0,135
  Dundas P (1308001) 00000 (  9.5%),435,25,185,135,70,20,895,0,85,225,240,335,260,0,0,30,100,140,230,0,0,0,50,160,65,0,0,0,0,55
  Cocagne RCR (1308002) 00000 (  2.3%),315,0,170,100,30,15,520,0,75,105,180,160,200,0,0,25,45,125,115,0,0,0,15,100,50,0,0,0,15,40
  Wellington P (1308004) 00000 (  6.6%),350,20,150,120,55,0,655,0,55,175,190,235,240,0,0,0,70,155,130,0,0,0,0,105,55,0,0,0,0,50
  Bouctouche TV (1308005) 00000 (  3.3%),365,15,170,95,55,30,455,0,20,140,110,175,130,0,0,0,0,105,80,0,0,0,0,65,65,0,0,0,0,65
  Saint Mary P (1308006) 00000 (  4.9%),175,15,90,50,20,0,370,0,35,115,95,130,110,0,0,0,40,65,110,0,0,0,0,95,45,0,0,0,0,40
  Saint-Antoine VL (1308007) 00000 (  1.6%),190,0,125,45,15,0,325,0,55,45,110,110,140,0,0,0,40,85,110,0,0,0,0,80,0,0,0,0,0,0
  Saint-Paul P (1308008) 00000 (  1.1%),85,0,35,35,0,0,165,0,15,40,60,45,50,0,0,0,0,25,40,0,0,0,0,30,30,0,0,0,10,15
  Harcourt P (1308010) 00010 ( 14.0%),60,0,15,25,0,0,50,0,0,0,0,25,20,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0
  Huskisson P (1308012) 09999 (  0.0%),x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
  Weldford P (1308014) 00000 (  6.5%),200,20,90,40,25,25,225,0,0,60,65,95,100,0,0,0,25,70,60,0,0,0,0,40,30,0,0,0,0,30
  Richibucto P (1308016) 00000 (  6.0%),195,15,100,55,20,0,515,0,45,115,145,210,135,0,0,0,30,90,65,0,0,0,20,40,30,0,0,0,0,20
  Rexton VL (1308017) 00000 (  2.0%),130,0,60,30,25,0,150,0,0,45,50,45,90,0,0,0,0,70,30,0,0,0,0,30,20,0,0,0,0,0
  Richibucto TV (1308018) 00000 (  1.9%),230,0,65,80,50,25,260,0,25,25,70,140,85,0,0,0,35,55,30,0,0,0,0,25,35,0,0,0,0,35
  Saint-Charles P (1308019) 00000 (  3.0%),240,0,120,70,35,0,420,0,20,100,125,170,110,0,0,0,35,60,110,0,0,0,0,90,35,0,0,0,0,25
  Saint-Louis P (1308021) 00000 (  1.6%),205,15,95,60,30,0,330,0,25,65,110,130,85,0,0,0,30,45,80,0,0,0,0,65,50,0,0,0,20,25
  Saint-Louis de Kent VL (1308022) 00000 (  4.5%),170,0,45,60,40,0,140,0,0,30,25,75,35,0,0,0,0,20,50,0,0,0,0,40,45,0,0,0,0,35
  Acadieville P (1308024) 00000 (  1.2%),65,0,45,15,0,0,180,0,0,60,35,75,35,0,0,0,0,20,30,0,0,0,0,20,15,0,0,0,0,0
  Carleton P (1308026) 00000 (  3.3%),140,0,60,50,0,0,140,0,0,35,20,75,45,0,0,0,0,30,35,0,0,0,0,35,0,0,0,0,0,0
  Hardwicke P (1309001) 00000 (  4.3%),280,0,160,75,15,20,470,0,55,100,105,205,165,0,0,0,35,100,60,0,0,0,0,50,35,0,0,0,0,35
  Glenelg P (1309004) 00000 (  4.1%),175,0,70,40,40,0,255,0,20,55,85,95,100,0,0,0,20,50,70,0,0,0,0,55,50,0,0,0,0,40
  Chatham P (1309006) 00000 (  3.7%),55,0,20,0,0,0,80,0,0,25,20,20,45,0,0,0,0,30,25,0,0,0,0,20,0,0,0,0,0,0
  Derby P (1309011) 00000 (  1.0%),120,0,65,30,0,0,180,0,25,40,35,75,55,0,0,0,0,45,35,0,0,0,0,25,15,0,0,0,0,15
  Nelson P (1309014) 00000 (  1.0%),85,0,35,35,0,0,180,0,20,45,70,45,55,0,0,0,0,40,50,0,0,0,0,35,25,0,0,0,0,20
  Rogersville P (1309016) 00000 (  4.7%),125,0,60,30,25,0,230,0,0,70,75,75,75,0,0,0,15,55,30,0,0,0,0,25,20,0,0,0,0,15
  Rogersville VL (1309017) 00000 (  2.7%),190,0,65,70,35,0,245,0,0,60,50,130,35,0,0,0,0,35,55,0,0,0,0,50,20,0,0,0,0,0
  Blackville P (1309018) 00000 (  5.7%),245,20,125,55,40,0,300,0,25,90,85,105,150,0,0,0,35,100,85,0,0,0,0,65,35,0,0,0,0,15
  Blackville VL (1309019) 00000 (  5.2%),130,0,55,30,25,0,110,0,0,30,45,35,45,0,0,0,0,35,45,0,0,0,0,45,40,0,0,0,0,30
  Blissfield P (1309021) 00000 (  2.3%),35,0,0,0,0,0,125,0,0,60,30,25,35,0,0,0,0,30,15,0,0,0,0,15,0,0,0,0,0,0
  Doaktown VL (1309022) 00000 (  4.0%),135,0,60,30,20,15,180,0,30,35,15,95,35,0,0,0,0,30,45,0,0,0,0,35,0,0,0,0,0,0
  Southesk P (1309026) 00000 (  2.8%),180,0,100,55,15,0,280,0,45,45,85,100,150,0,0,25,45,75,80,0,0,0,0,75,25,0,0,0,0,20
  Upper Miramichi RCR (1309027) 00000 (  6.9%),265,20,135,70,25,0,405,0,0,120,110,150,160,0,0,20,35,110,80,0,0,0,15,55,50,0,0,0,0,40
  Northesk P (1309028) 00000 (  1.7%),245,35,105,70,20,0,415,0,55,90,95,180,135,0,0,0,40,80,110,0,0,0,20,75,35,0,0,0,0,20
  Newcastle P (1309031) 00000 (  4.2%),110,0,55,0,30,0,230,0,25,50,75,70,55,0,0,0,20,25,65,0,0,0,15,50,20,0,0,0,0,20
  Alnwick P (1309036) 00000 (  5.6%),425,0,190,125,85,0,740,0,20,260,200,260,230,0,0,25,35,165,145,0,0,0,25,120,70,0,0,0,0,60
  Neguac VL (1309038) 00000 (  2.3%),245,0,120,55,65,0,225,0,0,55,45,115,115,0,0,0,25,70,105,0,0,0,0,85,20,0,0,0,0,0
  Miramichi C (1309050) 00000 (  2.0%),2560,170,1030,750,395,215,3045,0,180,670,900,1290,1090,0,45,80,245,725,795,0,0,20,105,670,350,0,0,25,20,300
  New Maryland P (1310001) 00000 (  1.5%),145,0,75,45,0,0,420,0,30,135,145,115,190,0,0,35,55,90,175,0,0,0,60,100,95,0,0,0,50,30
  New Maryland VL (1310002) 00000 (  1.0%),205,20,120,40,20,0,605,0,65,170,230,140,285,0,25,50,55,155,320,0,0,25,85,210,110,0,0,0,30,75
  Manners Sutton P (1310004) 01010 ( 12.0%),200,0,85,45,40,0,370,0,45,95,105,120,125,0,0,20,30,75,80,0,0,0,0,65,45,0,0,0,0,40
  Harvey VL (1310005) 00000 (  0.0%),75,0,30,30,0,0,80,0,0,15,0,50,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  McAdam VL (1310006) 00000 (  1.5%),175,20,65,65,15,0,225,0,25,40,70,90,60,0,0,0,15,40,40,0,0,0,0,25,30,0,0,0,0,25
  McAdam P (1310007) 00909 (  0.0%),x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
  North Lake P (1310008) 02039 ( 33.3%),x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
  Canterbury P (1310011) 00010 ( 10.2%),70,0,40,0,0,0,110,0,0,35,25,45,30,0,0,0,0,20,25,0,0,0,0,0,0,0,0,0,0,0
  Canterbury VL (1310012) 00000 (  0.0%),30,0,0,0,0,0,85,0,0,0,30,40,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  Meductic VL (1310013) 00909 (  0.0%),x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
  Dumfries P (1310014) 01010 ( 18.4%),25,0,0,0,0,0,105,0,0,0,35,40,25,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0
  Prince William P (1310016) 01010 ( 18.3%),120,0,40,45,25,0,205,0,0,25,60,110,55,0,0,0,0,25,65,0,0,0,0,35,20,0,0,0,0,20
  Hanwell RCR (1310017) 00000 (  2.7%),285,20,120,90,45,0,735,20,120,150,250,200,340,0,20,55,120,150,295,0,25,20,75,180,130,0,0,0,10,105
  Kingsclear P (1310018) 00000 (  0.7%),190,0,90,65,0,0,465,0,50,100,145,155,150,0,0,0,40,100,195,0,0,0,80,110,75,0,0,0,25,35
  Queensbury P (1310021) 00000 (  6.0%),145,0,70,45,15,0,215,0,0,55,70,85,45,0,0,0,15,30,75,0,0,0,0,60,25,0,0,0,0,20
  Southampton P (1310024) 00000 (  0.8%),165,0,70,60,0,20,265,0,45,50,90,85,75,0,0,0,10,50,85,0,0,0,0,65,35,0,0,0,0,25
  Millville VL (1310025) 00000 (  0.0%),60,0,20,20,0,0,55,0,0,0,0,40,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0
  Bright P (1310026) 00000 (  6.5%),270,20,135,60,40,25,550,0,75,150,155,170,235,0,0,40,50,140,175,0,0,0,25,140,75,0,0,0,0,45
  Douglas P (1310028) 00000 (  1.8%),390,25,225,85,35,20,870,0,110,220,260,280,395,0,35,35,120,205,375,0,0,30,65,275,190,0,0,40,55,100
  Saint Marys P (1310031) 00000 (  2.9%),340,35,190,70,40,0,765,0,145,185,245,180,360,0,0,35,85,225,325,0,0,35,50,230,150,0,0,0,45,100
  Fredericton C (1310032) 00000 (  4.3%),9245,505,3305,2650,1805,975,10555,65,850,2045,3030,4565,3780,0,200,500,875,2205,2875,0,50,210,475,2140,1370,0,30,85,215,1035
  Stanley P (1310036) 00000 (  4.1%),65,0,45,20,0,0,165,0,0,55,35,60,80,0,0,0,20,45,35,0,0,0,0,30,25,0,0,0,0,20
  Stanley VL (1310037) 00000 (  2.6%),55,0,35,0,0,0,65,0,0,30,0,30,20,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0
  Nackawic TV (1310054) 00000 (  1.9%),130,0,65,35,0,0,190,0,0,65,30,90,30,0,0,0,0,15,50,0,0,0,0,30,20,0,0,0,0,20
  Richmond P (1311001) 00000 (  2.1%),95,0,35,45,0,0,200,0,15,60,65,55,65,0,0,0,15,45,95,0,0,0,25,65,65,0,0,0,0,55
  Woodstock P (1311004) 00000 (  2.3%),180,0,105,60,0,0,340,0,60,80,125,80,160,0,20,0,20,110,115,0,0,0,0,90,65,0,0,0,20,35
  Woodstock TV (1311006) 00000 (  3.6%),840,85,290,285,115,60,900,0,50,185,250,395,325,0,0,45,60,210,270,0,0,0,35,205,115,0,0,0,20,95
  Northampton P (1311008) 00000 (  1.1%),155,0,65,70,0,0,265,0,35,70,85,80,145,0,0,15,0,115,65,0,0,0,0,55,80,0,0,0,15,55
  Brighton P (1311011) 00000 (  3.8%),160,20,75,30,20,0,275,0,0,90,60,105,110,0,0,15,20,60,70,0,0,0,20,45,40,0,0,0,0,25
  Hartland TV (1311012) 00000 (  3.3%),100,0,50,30,0,0,175,0,15,30,35,90,30,0,0,0,0,15,45,0,0,0,25,25,25,0,0,0,0,15
  Wakefield P (1311014) 00000 (  2.4%),265,0,135,65,45,0,465,0,60,110,155,145,155,0,0,15,60,75,145,0,0,25,30,90,70,0,0,0,15,40
  Wilmot P (1311018) 00000 (  0.0%),85,0,30,30,15,0,180,0,15,50,50,70,80,0,0,0,30,40,30,0,0,0,0,20,25,0,0,0,0,0
  Centreville VL (1311019) 00000 (  0.0%),140,0,20,45,40,20,85,0,0,20,0,65,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0
  Simonds P (1311021) 00000 (  0.0%),40,0,25,0,0,0,75,0,0,20,25,30,35,0,0,0,0,20,25,0,0,0,0,25,0,0,0,0,0,0
  Peel P (1311024) 00000 (  1.2%),155,0,70,50,20,0,155,0,0,45,45,55,75,0,0,0,25,40,50,0,0,0,0,35,40,0,0,0,15,25
  Aberdeen P (1311026) 00000 (  3.3%),85,0,40,0,30,0,200,0,0,50,70,65,35,0,0,0,0,25,55,0,0,0,0,45,0,0,0,0,0,0
  Florenceville-Bristol TV (1311027) 00000 (  0.6%),220,0,115,70,0,0,215,0,0,40,50,120,105,0,0,0,30,50,85,0,0,0,0,65,45,0,0,0,0,25
  Kent P (1311028) 00000 (  1.5%),220,15,100,75,0,20,335,0,20,90,95,130,135,0,0,0,45,70,90,0,0,0,0,70,40,0,0,0,0,40
  Bath VL (1311030) 00000 (  0.0%),105,0,15,50,0,0,55,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
