,    Subsidized housing,    Subsidized housing,    Subsidized housing,    Subsidized housing,    Subsidized housing,    Subsidized housing,    Subsidized housing,    Subsidized housing,    Subsidized housing,    Subsidized housing,    Subsidized housing,    Subsidized housing,    Subsidized housing,    Subsidized housing,    Subsidized housing,    Subsidized housing,    Subsidized housing,    Subsidized housing,    Not subsidized housing,    Not subsidized housing,    Not subsidized housing,    Not subsidized housing,    Not subsidized housing,    Not subsidized housing,    Not subsidized housing,    Not subsidized housing,    Not subsidized housing,    Not subsidized housing,    Not subsidized housing,    Not subsidized housing,    Not subsidized housing,    Not subsidized housing,    Not subsidized housing,    Not subsidized housing,    Not subsidized housing,    Not subsidized housing
Argenteuil (2476) 00000 (  5.6%),480,475,85,25,15,0,300,300,70,100,100,0,45,45,0,0,0,0,4150,4040,825,210,145,130,1220,1190,610,1005,995,90,930,930,0,780,780,0
Les Pays-d'en-Haut (2477) 00000 (  7.0%),230,210,65,30,25,25,140,125,35,55,55,0,0,0,0,0,0,0,4740,4490,1130,365,160,120,1660,1615,960,1115,1110,50,890,890,0,710,710,0
Les Laurentides (2478) 20000 (  6.5%),390,390,100,0,0,0,265,265,80,65,65,0,30,30,0,20,20,0,5680,5515,1425,300,165,150,1735,1700,1050,1415,1415,190,1235,1235,30,1000,1000,0
Antoine-Labelle (2479) 00000 (  7.3%),425,410,105,0,0,0,300,290,95,90,90,0,0,0,0,0,0,0,4050,3970,795,175,120,115,1300,1275,590,1005,1005,75,800,800,15,765,765,0
Papineau (2480) 00000 (  5.6%),115,115,40,0,0,0,85,85,35,25,25,0,0,0,0,0,0,0,2060,2000,610,105,70,65,640,625,430,530,525,90,465,465,25,315,315,0
Gatineau (2481) 00000 (  3.9%),4800,4655,1245,1150,1075,495,2475,2405,715,710,710,35,340,340,0,120,120,0,39490,37375,7695,4060,2135,1755,11295,11105,5735,10965,10955,200,8145,8145,0,5030,5030,0
Les Collines-de-l'Outaouais (2482) 00000 (  4.8%),90,90,35,20,20,0,65,65,20,0,0,0,0,0,0,0,0,0,1955,1895,365,260,210,155,650,645,210,570,570,0,280,280,0,185,185,0
La Vallée-de-la-Gatineau (2483) 20011 ( 10.5%),400,390,95,35,30,15,240,235,60,85,85,0,30,30,0,10,10,0,1815,1755,540,110,55,55,540,530,385,440,440,85,410,410,0,320,320,0
Pontiac (2484) 00011 ( 10.7%),235,230,25,0,0,0,140,135,20,55,55,0,30,30,0,0,0,0,1080,1045,390,120,100,85,330,325,195,260,260,100,180,180,0,195,195,0
Témiscamingue (2485) 00000 (  7.3%),250,250,60,35,35,20,160,160,25,40,40,15,0,0,0,0,0,0,1360,1340,320,70,55,55,440,435,200,325,325,55,310,310,15,210,210,0
Rouyn-Noranda (2486) 00000 (  6.0%),500,480,55,105,100,45,320,310,0,50,50,0,15,15,0,0,0,0,6385,6160,740,660,450,400,1970,1955,340,1760,1760,0,1100,1100,0,895,895,0
Abitibi-Ouest (2487) 00000 (  4.6%),225,225,30,20,20,0,150,150,15,45,45,0,0,0,0,0,0,0,1935,1900,315,110,90,80,760,750,220,465,465,15,340,340,0,250,250,0
Abitibi (2488) 00000 (  6.4%),225,215,35,30,25,0,140,140,20,35,35,0,0,0,0,0,0,0,2665,2605,325,130,85,75,835,825,250,690,690,0,540,535,0,470,470,0
La Vallée-de-l'Or (2489) 00000 (  5.7%),730,715,60,110,110,40,435,420,20,110,110,0,40,40,0,35,35,0,5825,5680,675,530,415,370,1860,1835,310,1560,1560,0,990,990,0,885,885,0
La Tuque (2490) 00000 (  7.5%),220,220,45,0,0,0,165,155,40,30,30,0,20,20,0,0,0,0,1610,1585,210,100,80,80,550,550,140,365,365,0,310,310,0,275,275,0
Le Domaine-du-Roy (2491) 00000 (  5.5%),705,700,85,80,75,30,495,490,55,85,85,0,45,45,0,0,0,0,2880,2835,350,165,130,105,1075,1075,220,745,745,25,530,530,0,365,365,0
Maria-Chapdelaine (2492) 00000 (  4.5%),540,535,45,60,60,20,360,355,25,85,85,0,20,20,0,20,20,0,2310,2280,170,120,90,80,830,830,80,630,630,0,420,420,0,310,310,0
Lac-Saint-Jean-Est (2493) 00000 (  5.2%),745,735,125,105,100,25,480,475,90,105,100,0,35,35,0,15,15,0,5545,5475,605,300,240,205,1920,1915,395,1595,1595,0,1140,1140,0,590,590,0
Le Saguenay-et-son-Fjord (2494) 00000 (  4.7%),3885,3745,715,545,515,270,2500,2400,445,510,500,0,220,220,0,100,100,0,22450,21915,2355,1550,1090,925,7105,7035,1430,6370,6365,0,4510,4510,0,2915,2915,0
La Haute-Côte-Nord (2495) 00011 ( 12.6%),210,210,20,0,0,0,145,145,0,35,35,0,20,20,0,0,0,0,915,885,205,65,40,40,350,350,135,205,205,20,175,175,0,110,110,0
Manicouagan (2496) 00000 (  8.4%),600,585,75,140,125,45,355,350,35,70,70,0,20,20,0,0,0,0,2725,2680,320,190,140,130,905,905,175,790,790,0,485,485,0,355,355,0
Sept-Rivières--Caniapiscau (2497) 00000 (  7.6%),740,740,125,155,155,55,375,375,75,105,105,0,60,60,0,55,55,0,4280,4195,540,315,240,185,1265,1260,350,1125,1125,0,905,905,0,670,670,0
Minganie--Le Golfe-du-Saint-Laurent (2498) 00011 ( 10.5%),160,160,0,0,0,0,95,95,0,30,30,0,0,0,0,20,20,0,495,495,70,0,0,0,160,160,45,150,150,20,60,60,0,120,120,0
Nord-du-Québec (2499) 01101 (  9.6%),3355,3340,1040,175,150,85,560,560,155,660,660,230,770,770,280,1190,1190,285,1725,1700,285,140,115,95,405,405,50,365,365,40,400,400,35,420,420,65
"Stormont, Dundas and Glengarry (3501) 00000 (  5.2%)",2240,2175,915,125,115,70,1335,1310,755,505,490,85,190,190,0,80,80,0,11525,11065,3275,660,285,255,3370,3300,2380,2990,2985,630,2500,2500,0,1995,1995,0
Prescott and Russell (3502) 00000 (  4.8%),1045,1020,435,120,100,70,595,585,335,175,175,20,105,105,0,50,50,0,6935,6680,1965,470,250,235,2615,2580,1520,1795,1795,190,1180,1180,0,880,880,0
Ottawa (3506) 00000 (  4.0%),20380,19490,8955,6315,5500,2505,10140,10065,5565,2560,2550,890,975,975,0,390,390,0,107720,99140,25535,12680,4725,3655,29785,29165,18260,28100,28095,3615,22095,22095,0,15055,15055,0
Leeds and Grenville (3507) 00000 (  5.8%),1525,1470,660,250,220,120,820,805,465,325,320,70,95,95,0,35,35,0,7850,7585,2270,385,170,150,2325,2270,1690,2085,2085,370,1730,1730,55,1325,1325,0
Lanark (3509) 00000 (  6.8%),920,910,320,160,150,50,505,500,240,165,165,30,60,60,0,40,40,0,5095,4875,1580,325,145,135,1585,1540,1100,1355,1350,325,1060,1060,25,775,775,0
Frontenac (3510) 00000 (  4.5%),2760,2680,1180,670,595,215,1435,1430,835,415,415,130,170,170,0,70,70,0,19735,18395,5430,1615,525,375,5985,5755,4115,5020,5000,880,3930,3930,55,3185,3185,0
Lennox and Addington (3511) 00000 (  4.0%),470,460,185,90,85,40,290,280,125,65,65,20,30,30,0,0,0,0,2795,2695,1005,225,125,115,1045,1040,760,650,650,105,615,615,25,265,265,0
Hastings (3512) 00000 (  6.0%),2460,2415,1035,415,380,120,1405,1395,825,365,365,85,205,205,0,65,65,0,13215,12770,4475,545,200,155,4135,4040,3355,3615,3605,920,2930,2930,50,2000,2000,0
Prince Edward (3513) 00000 (  5.0%),215,210,90,55,55,15,125,120,75,20,20,0,0,0,0,0,0,0,1595,1520,485,105,35,35,570,560,390,420,420,65,300,300,0,200,200,0
Northumberland (3514) 00000 (  5.1%),945,920,435,190,170,65,580,580,335,130,130,30,35,35,0,0,0,0,5715,5475,2015,380,200,185,1960,1900,1500,1430,1420,325,1125,1125,0,830,830,0
Peterborough (3515) 00000 (  5.1%),2550,2485,1160,305,255,95,1530,1515,900,505,505,140,145,145,25,75,75,0,12830,11995,4205,955,225,160,3950,3845,2995,3415,3415,925,2520,2520,120,1990,1990,0
Kawartha Lakes (3516) 00000 (  5.5%),995,960,460,280,255,85,545,535,345,120,110,25,50,50,0,0,0,0,4310,4045,1510,340,125,100,1495,1455,1105,1135,1135,300,725,725,0,605,605,0
Durham (3518) 00000 (  4.0%),6330,6195,3130,1860,1720,995,3360,3360,1985,710,710,140,290,290,0,110,110,0,36445,34290,11700,3475,1720,1565,11960,11580,8420,9695,9680,1660,6880,6880,60,4430,4430,0
York (3519) 00000 (  3.5%),6325,6060,3130,2105,1875,1225,3080,3045,1740,695,695,165,300,300,0,140,140,0,44020,38680,12760,6445,2055,1590,13600,12680,9295,10490,10460,1880,7565,7565,0,5920,5920,0
Toronto (3520) 00000 (  4.9%),79240,75630,40280,16165,13160,5400,40245,39655,26685,12655,12630,6705,6295,6290,1495,3880,3880,0,445405,399215,132990,41600,5610,4005,94345,84440,73915,94325,94045,47840,94495,94480,7230,120640,120640,0
Peel (3521) 00000 (  3.8%),14230,13535,7095,2980,2345,1300,7600,7535,4905,2215,2215,865,975,975,25,460,460,0,87960,80035,27265,9325,2505,2030,23680,22615,18330,23155,23115,6810,18465,18465,95,13340,13340,0
Dufferin (3522) 00000 (  3.7%),650,635,330,155,140,70,425,420,245,35,35,15,25,25,0,0,0,0,3130,2975,970,325,185,155,940,925,665,850,850,140,640,640,0,375,375,0
Wellington (3523) 00000 (  4.4%),3145,3085,1200,940,895,380,1565,1545,765,405,405,55,175,175,0,60,60,0,19005,17920,4190,1695,735,530,5495,5370,3090,5330,5330,560,3935,3935,0,2550,2550,0
Halton (3524) 00000 (  3.2%),4180,4005,1980,1605,1445,910,1935,1925,1010,380,380,60,165,165,0,95,95,0,32560,30160,6610,3550,1405,1175,9965,9720,5085,8475,8475,355,6220,6220,0,4340,4340,0
Hamilton (3525) 00000 (  4.9%),10605,10220,4585,2165,1850,825,5900,5835,3215,1580,1580,485,710,705,60,245,245,0,57860,54140,17730,5190,1965,1610,18925,18450,13235,14750,14730,2745,10815,10815,140,8175,8175,0
Niagara (3526) 00000 (  5.0%),7395,7230,3100,1085,940,425,4195,4175,2370,1340,1340,280,520,520,20,260,260,0,40185,38025,12495,2840,985,785,12720,12415,9225,10890,10890,2450,7890,7890,35,5845,5845,0
Haldimand-Norfolk (3528) 20000 (  5.4%),995,980,490,235,225,130,595,590,355,110,110,0,35,35,0,20,20,0,7035,6765,1700,550,315,280,2380,2350,1350,1825,1815,70,1415,1415,0,865,865,0
Brant (3529) 20000 (  5.4%),2255,2220,1115,325,300,155,1400,1385,855,335,335,85,130,130,20,70,70,0,12230,11730,3820,685,260,235,3795,3730,2850,3410,3400,655,2510,2510,75,1830,1830,0
Waterloo (3530) 00000 (  4.4%),7785,7565,3165,1730,1525,755,4060,4045,2165,1280,1280,240,530,530,0,190,190,0,56800,52940,12990,5565,2115,1585,15990,15590,9895,15345,15340,1450,11815,11815,60,8085,8085,0
Perth (3531) 00000 (  3.7%),1265,1215,460,390,360,135,650,630,320,130,130,0,70,70,0,25,25,0,6830,6650,1175,340,180,140,1790,1765,970,2010,2010,65,1695,1695,0,1005,1005,0
Oxford (3532) 00000 (  4.7%),1435,1410,540,350,335,105,855,845,425,150,150,0,60,60,0,15,15,0,10035,9685,2250,560,265,235,3015,2960,1800,2850,2850,215,2070,2070,0,1540,1540,0
Elgin (3534) 00000 (  4.5%),1360,1320,510,240,215,65,700,690,400,285,280,45,95,95,0,40,40,0,7145,6865,2140,455,200,170,2375,2355,1680,1975,1975,285,1320,1320,0,1025,1025,0
Chatham-Kent (3536) 00000 (  4.9%),1765,1735,585,345,330,90,1015,1005,480,270,270,0,95,95,0,35,35,0,10080,9765,2685,555,275,255,3290,3255,2190,2765,2765,235,2065,2065,0,1405,1405,0
Essex (3537) 00000 (  5.1%),7535,7290,2875,1405,1190,485,3900,3875,2045,1440,1435,335,565,565,0,225,225,0,35665,33125,9560,3555,1340,1115,10760,10470,6855,8915,8885,1535,6740,6735,60,5700,5700,0
Lambton (3538) 00000 (  4.6%),1910,1880,915,510,485,225,1105,1100,670,220,220,20,50,50,0,35,35,0,11570,11035,3530,970,525,430,4075,4010,2845,2810,2795,255,2045,2045,0,1660,1660,0
Middlesex (3539) 20000 (  4.4%),7965,7595,2980,1935,1630,575,3990,3930,2070,1305,1300,320,500,500,0,230,230,0,61190,56540,16065,5705,1610,1195,17975,17470,12260,15405,15360,2465,12395,12395,150,9710,9710,0
Huron (3540) 00000 (  6.4%),700,685,180,145,140,25,385,380,145,100,100,0,45,45,0,25,25,0,4430,4315,880,180,85,75,1540,1525,750,1145,1145,50,890,890,0,675,675,0
Bruce (3541) 00000 (  6.0%),835,820,340,215,195,80,505,505,260,85,85,0,15,15,0,0,0,0,4285,4100,1085,340,170,170,1590,1570,875,1000,1000,40,740,740,0,610,610,0
Grey (3542) 00000 (  6.4%),1635,1600,610,230,195,80,965,965,495,270,270,35,110,110,0,55,55,0,7485,7155,2060,420,165,135,2350,2280,1675,1935,1935,255,1565,1565,0,1210,1210,0
Simcoe (3543) 00000 (  4.5%),4620,4480,2195,895,780,350,2540,2515,1615,800,800,205,275,275,20,115,115,0,33890,32100,10825,2355,880,750,10290,10000,7725,8885,8865,2180,7090,7090,170,5265,5265,0
Muskoka (3544) 20000 (  6.3%),810,785,460,110,90,45,505,500,370,130,120,25,50,50,0,20,20,0,3805,3635,1420,240,90,75,1245,1220,1010,900,900,300,805,805,35,615,615,0
Haliburton (3546) 00001 (  8.6%),295,290,150,55,55,20,175,175,115,40,40,0,0,0,0,0,0,0,775,755,315,50,25,0,245,245,190,210,210,95,150,150,0,120,120,0
Renfrew (3547) 00000 (  5.2%),1935,1920,630,215,205,85,960,960,485,430,430,65,250,250,0,90,90,0,8365,8070,2310,430,190,165,2320,2270,1690,2095,2095,440,1985,1985,15,1530,1530,0
Nipissing (3548) 00000 (  6.3%),2245,2195,845,245,195,90,1375,1375,680,395,395,80,170,170,0,65,65,0,9425,8990,2865,560,195,155,3070,3030,2170,2380,2355,510,1875,1875,30,1540,1540,0
Parry Sound (3549) 00000 (  8.2%),505,480,240,50,35,20,295,295,180,100,90,30,50,50,0,15,15,0,2625,2535,1060,90,30,25,840,815,620,690,690,295,510,510,100,485,485,30
Manitoulin (3551) 00101 (  9.8%),200,200,100,30,25,0,130,130,85,25,25,0,0,0,0,0,0,0,535,525,195,25,0,0,135,135,120,155,155,45,100,100,0,115,115,0
Sudbury (3552) 00001 (  9.7%),265,250,75,90,75,0,140,140,65,0,0,0,25,25,0,0,0,0,1305,1285,425,70,50,45,480,480,335,260,260,25,275,275,0,220,220,0
Greater Sudbury (3553) 00000 (  5.5%),4225,4105,1515,1175,1080,365,2155,2135,1085,610,605,70,190,190,0,90,90,0,19410,18525,5045,1910,1085,880,5940,5880,3665,5045,5045,500,3590,3590,0,2920,2920,0
Timiskaming (3554) 00000 (  7.0%),835,820,285,75,60,20,505,505,255,160,160,0,60,60,0,35,35,0,2890,2790,915,130,55,40,1050,1025,730,710,710,120,445,445,25,555,555,0
Cochrane (3556) 00000 (  7.1%),2480,2425,780,400,360,120,1310,1305,615,400,395,30,220,220,15,145,145,0,7725,7440,1855,480,255,230,2855,2800,1445,1770,1760,160,1320,1320,0,1305,1305,0
Algoma (3557) 20000 (  6.6%),3065,3000,985,605,555,165,1800,1785,765,425,425,55,180,180,0,60,60,0,10990,10570,2760,620,280,240,3690,3620,2070,3030,3030,420,2110,2110,20,1540,1540,0
Thunder Bay (3558) 00000 (  6.0%),3980,3860,1655,1005,890,345,2195,2195,1165,520,520,120,170,170,25,80,80,0,12355,11760,3415,990,460,375,3885,3820,2485,3220,3220,505,2255,2255,50,2000,2000,0
Rainy River (3559) 00001 (  8.0%),520,500,150,90,70,0,305,305,125,95,95,0,30,30,0,0,0,0,1055,1005,215,55,15,15,375,370,165,265,265,35,200,200,0,160,160,0
Kenora (3560) 21111 ( 10.6%),1185,1165,555,245,230,140,645,645,390,135,135,30,105,105,0,50,50,0,3270,3155,745,270,150,140,940,935,515,850,850,95,605,605,0,610,610,0
Division No. 1 (4601) 00101 (  9.0%),270,260,105,30,20,20,160,160,70,45,45,0,25,25,0,0,0,0,820,800,255,25,0,0,185,180,110,250,250,70,205,205,60,150,150,0
Division No. 2 (4602) 00000 (  6.4%),760,745,285,140,120,100,400,400,165,135,135,25,65,65,0,25,25,0,4045,3945,930,225,130,110,1125,1120,680,1225,1225,130,840,840,0,625,625,0
Division No. 3 (4603) 00000 (  5.8%),625,610,215,125,115,105,335,330,95,110,110,20,30,30,0,20,20,0,3175,3080,430,155,60,50,840,840,270,970,970,95,685,685,0,520,520,0
Division No. 4 (4604) 00000 (  6.0%),135,135,25,0,0,0,75,75,20,30,30,0,25,25,0,0,0,0,415,415,90,0,0,0,125,125,45,110,110,30,110,110,20,65,65,0
Division No. 5 (4605) 00000 (  7.2%),165,165,70,30,30,30,80,80,25,30,30,20,20,20,0,0,0,0,640,605,110,50,20,15,150,145,55,185,185,30,125,125,0,125,125,0
Division No. 6 (4606) 00000 (  3.9%),125,125,25,0,0,0,85,85,20,25,25,0,0,0,0,0,0,0,585,580,100,50,45,20,130,130,30,170,170,35,140,140,20,100,100,0
Division No. 7 (4607) 00000 (  4.8%),1850,1815,560,325,290,240,875,870,270,380,380,50,170,170,0,105,105,0,7445,7175,1010,475,240,175,1805,1770,690,2110,2110,135,1730,1730,0,1325,1325,0
Division No. 8 (4608) 00000 (  6.4%),125,125,0,0,0,0,60,60,0,40,40,0,0,0,0,0,0,0,495,485,75,30,25,0,175,170,45,85,85,0,105,105,0,95,95,0
Division No. 9 (4609) 00000 (  6.9%),490,465,195,125,100,95,205,205,60,105,105,35,20,20,0,30,30,0,1975,1920,300,95,50,35,600,590,190,540,540,50,420,420,20,330,330,0
Division No. 10 (4610) 00000 (  6.1%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,240,60,40,30,25,125,125,35,50,50,0,15,15,0,15,15,0
Division No. 11 (4611) 00000 (  3.9%),17930,16990,7805,4410,3530,2920,8875,8820,3870,3020,3020,935,1190,1190,80,440,440,0,80225,74735,17610,7345,2385,1985,20185,19650,11965,21995,21985,3415,17530,17530,240,13180,13180,0
Division No. 12 (4612) 00000 (  6.4%),110,110,35,0,0,0,70,70,20,0,0,0,0,0,0,0,0,0,540,520,75,45,25,25,185,185,55,120,120,0,135,135,0,55,55,0
Division No. 13 (4613) 00000 (  4.3%),595,595,235,120,120,95,320,320,110,105,105,20,30,30,0,0,0,0,1540,1475,290,115,55,50,410,410,200,455,455,35,325,325,0,235,235,0
Division No. 14 (4614) 00000 (  7.1%),105,105,45,20,20,20,75,75,30,0,0,0,0,0,0,0,0,0,545,530,90,35,20,0,170,170,55,165,165,20,85,85,0,90,90,0
Division No. 15 (4615) 00000 (  8.0%),305,295,50,25,20,15,155,155,30,70,70,0,25,25,0,25,25,0,1090,1075,165,60,45,30,295,295,95,300,300,25,230,230,15,205,205,0
Division No. 16 (4616) 00001 (  8.6%),185,185,60,20,20,20,100,100,35,30,30,0,30,30,0,0,0,0,470,450,95,25,0,0,145,140,55,95,95,30,85,85,0,120,120,0
Division No. 17 (4617) 00000 (  7.4%),545,520,150,70,55,55,280,275,80,135,135,20,45,40,0,15,15,0,1630,1565,300,70,25,15,460,445,135,410,410,100,285,285,30,400,400,0
Division No. 18 (4618) 00111 ( 11.2%),370,360,120,55,50,35,185,185,65,80,80,0,25,25,0,25,25,0,1090,1040,395,90,40,35,340,340,205,265,265,110,195,195,45,205,205,0
Division No. 19 (4619) 00101 (  9.1%),185,185,75,0,0,0,65,65,35,25,25,0,60,60,20,20,20,0,140,135,25,0,0,0,30,30,0,0,0,0,20,20,0,55,55,0
Division No. 20 (4620) 00011 ( 11.2%),370,360,90,25,15,15,190,190,50,75,75,20,40,40,0,45,45,0,660,640,155,35,20,0,185,180,85,150,150,35,120,120,0,170,170,0
Division No. 21 (4621) 01111 ( 12.6%),510,505,125,75,65,45,225,225,65,115,115,0,45,45,0,55,55,0,1270,1245,230,115,85,65,365,365,125,300,300,25,245,245,0,245,245,0
Division No. 22 (4622) 00111 ( 11.2%),480,465,115,105,85,55,195,195,50,95,95,0,35,35,0,55,55,0,2025,1970,355,135,80,75,550,550,270,485,485,0,460,460,0,400,400,0
Division No. 23 (4623) 01212 ( 15.1%),600,600,100,35,30,25,90,90,40,110,110,15,185,185,20,175,175,0,310,310,90,0,0,0,65,65,50,40,40,25,75,75,10,130,130,0
Division No. 1 (4701) 00000 (  5.8%),620,595,270,105,95,95,365,360,170,75,70,0,65,65,0,0,0,0,1950,1895,340,110,55,50,490,485,220,445,445,60,440,440,0,470,470,0
Division No. 2 (4702) 00000 (  7.5%),380,380,155,60,55,45,240,240,115,55,55,0,15,15,0,0,0,0,1525,1465,265,90,35,30,405,405,210,390,390,20,345,345,0,290,290,0
Division No. 3 (4703) 00011 ( 11.4%),195,195,70,0,0,0,95,95,45,60,60,0,0,0,0,20,20,0,750,715,190,40,0,0,165,165,90,155,155,75,185,185,0,195,195,0
Division No. 4 (4704) 00000 (  7.8%),80,80,45,0,0,0,45,45,35,20,20,0,0,0,0,0,0,0,670,660,200,40,30,15,150,150,100,150,150,45,155,155,35,170,170,0
Division No. 5 (4705) 00000 (  6.7%),665,650,305,50,35,30,470,470,260,70,70,0,40,40,0,30,30,0,1700,1635,360,95,60,45,500,480,250,410,405,55,325,325,0,370,370,0
Division No. 6 (4706) 00000 (  5.6%),5980,5670,3580,895,590,555,3565,3560,2575,1000,1000,375,320,320,70,200,200,0,23740,22220,5940,1865,625,460,6770,6510,4140,6160,6140,1105,5290,5290,235,3655,3655,0
Division No. 7 (4707) 00000 (  5.9%),1230,1200,555,115,85,85,750,745,445,255,255,30,70,70,0,45,45,0,3990,3780,850,295,115,80,1165,1140,665,955,950,90,845,845,15,735,735,0
Division No. 8 (4708) 00000 (  5.7%),550,540,295,60,55,45,340,340,230,85,85,20,35,35,0,25,25,0,2250,2135,400,175,70,50,580,575,285,570,570,50,475,475,0,440,440,0
Division No. 9 (4709) 00000 (  6.0%),810,795,495,35,0,0,555,555,435,140,140,45,40,40,0,40,40,0,2280,2130,630,190,55,45,665,655,460,440,440,75,485,485,50,490,490,0
Division No. 10 (4710) 00000 (  6.9%),355,350,215,20,0,0,235,235,170,50,50,20,25,25,0,25,25,0,715,700,240,50,40,25,185,185,130,175,175,35,140,140,30,160,160,0
Division No. 11 (4711) 00000 (  4.9%),5700,5465,3095,640,425,380,3440,3420,2370,1110,1110,335,325,325,0,180,180,0,29350,27490,6510,2625,980,690,8375,8165,4775,7680,7680,1020,5840,5840,30,4835,4835,0
Division No. 12 (4712) 00001 (  7.8%),335,325,140,40,25,20,220,220,95,65,65,20,0,0,0,0,0,0,990,950,280,50,20,20,305,295,165,270,270,60,180,180,25,180,180,0
Division No. 13 (4713) 00000 (  7.1%),245,245,135,30,30,30,165,165,105,25,25,0,0,0,0,0,0,0,1205,1165,215,95,60,35,305,300,130,285,285,40,305,305,0,215,215,0
Division No. 14 (4714) 00000 (  6.9%),895,875,385,55,35,35,565,565,300,190,190,40,50,50,0,35,35,0,1950,1870,420,95,40,40,555,530,265,545,540,90,360,360,0,395,395,0
Division No. 15 (4715) 00001 (  8.2%),2085,2010,1100,195,130,115,1175,1165,830,435,435,140,155,155,20,125,125,0,5465,5280,1405,270,125,95,1570,1530,970,1485,1485,310,1070,1070,35,1070,1070,0
Division No. 16 (4716) 00001 (  8.5%),1015,980,460,80,55,50,585,580,350,235,235,55,55,55,0,55,55,0,2080,1985,545,135,60,40,480,465,315,460,460,130,575,575,55,430,430,0
Division No. 17 (4717) 00101 (  9.3%),880,845,440,115,75,70,500,500,330,160,160,40,85,85,0,25,25,0,2575,2430,500,205,85,65,620,605,320,620,620,95,610,610,0,515,515,0
Division No. 18 (4718) 00101 (  8.9%),970,950,430,90,65,50,330,325,200,180,180,75,160,160,60,220,220,45,1245,1185,375,95,40,30,355,350,155,315,315,95,200,200,55,285,285,35
Division No. 1 (4801) 00000 (  4.6%),1050,995,440,140,100,70,625,620,360,190,190,0,60,60,0,25,25,0,7635,7360,1550,430,175,145,2245,2230,1250,2030,2030,130,1570,1570,25,1360,1360,0
Division No. 2 (4802) 00000 (  6.5%),2000,1960,850,195,155,100,1265,1260,675,315,315,75,145,145,0,85,85,0,15095,14490,2670,915,395,270,3900,3815,1975,3960,3960,400,3660,3660,0,2660,2660,0
Division No. 3 (4803) 00111 ( 10.1%),235,235,65,15,15,0,120,120,45,35,35,0,45,45,0,20,20,0,2025,1945,450,110,40,30,570,555,330,445,445,30,455,455,50,455,455,0
Division No. 4 (4804) 00000 (  7.1%),50,50,0,0,0,0,25,25,0,0,0,0,0,0,0,0,0,0,525,510,40,35,20,0,140,140,20,90,90,0,170,170,0,85,85,0
Division No. 5 (4805) 00001 (  6.4%),470,460,195,50,40,30,280,280,155,75,75,0,45,45,0,25,25,0,3390,3270,700,190,85,55,910,895,490,810,810,80,860,855,65,620,620,0
Division No. 6 (4806) 00000 (  4.9%),14225,13605,6590,3050,2455,1435,8170,8145,4800,1745,1745,350,730,730,0,530,530,0,130830,122980,26690,11545,4375,3345,32665,32005,20160,33705,33685,3175,29255,29255,0,23655,23655,0
Division No. 7 (4807) 00000 (  5.5%),380,365,105,40,20,20,190,190,80,90,90,0,35,35,0,30,30,0,2470,2370,415,135,35,35,540,530,255,630,630,85,675,675,35,490,490,0
Division No. 8 (4808) 00000 (  6.6%),2045,2000,1055,230,185,115,1430,1420,915,195,195,25,140,140,0,60,60,0,19065,18155,3735,1345,485,410,5095,5040,3025,4630,4630,280,4280,4280,25,3720,3720,0
